state_id,date_,new_cases,population
AL,2021-12-23,2060,4934193
AL,2021-12-24,2466,4934193
AL,2021-12-25,2449,4934193
AL,2021-12-26,863,4934193
AL,2021-12-27,1679,4934193
AL,2021-12-28,3705,4934193
AL,2021-12-29,5975,4934193
AL,2021-12-30,8256,4934193
AL,2021-12-31,8051,4934193
AL,2022-01-01,0,4934193
AL,2022-01-02,12927,4934193
AL,2022-01-03,4062,4934193
AL,2022-01-04,7572,4934193
AL,2022-01-05,11075,4934193
AL,2022-01-06,12626,4934193
AL,2022-01-07,12972,4934193
AL,2022-01-08,8332,4934193
AL,2022-01-09,12452,4934193
AL,2022-01-10,6250,4934193
AL,2022-01-11,8536,4934193
AL,2022-01-12,11204,4934193
AL,2022-01-13,0,4934193
AL,2022-01-14,0,4934193
AL,2022-01-15,0,4934193
AL,2022-01-16,51856,4934193
AL,2022-01-17,8058,4934193
AL,2022-01-18,6728,4934193
AL,2022-01-19,17106,4934193
AL,2022-01-20,15986,4934193
AL,2022-01-21,16525,4934193
AL,2022-01-22,16506,4934193
AL,2022-01-23,9807,4934193
AL,2022-01-24,5955,4934193
AL,2022-01-25,0,4934193
AL,2022-01-26,0,4934193
AL,2022-01-27,0,4934193
AL,2022-01-28,0,4934193
AL,2022-01-29,53159,4934193
AL,2022-01-30,6490,4934193
AL,2022-01-31,5459,4934193
AL,2022-02-01,5639,4934193
AL,2022-02-02,5404,4934193
AL,2022-02-03,0,4934193
AL,2022-02-04,11196,4934193
AL,2022-02-05,1924,4934193
AL,2022-02-06,0,4934193
AL,2022-02-07,3456,4934193
AL,2022-02-08,4507,4934193
AL,2022-02-09,3649,4934193
AL,2022-02-10,2713,4934193
AL,2022-02-11,2835,4934193
AL,2022-02-12,2438,4934193
AL,2022-02-13,1054,4934193
AL,2022-02-14,724,4934193
AL,2022-02-15,2136,4934193
AL,2022-02-16,1975,4934193
AL,2022-02-17,2108,4934193
AL,2022-02-18,1440,4934193
AL,2022-02-19,1153,4934193
AL,2022-02-20,484,4934193
AL,2022-02-21,392,4934193
AL,2022-02-22,639,4934193
AL,2022-02-23,1232,4934193
AL,2022-02-24,1225,4934193
AL,2022-02-25,1257,4934193
AL,2022-02-26,1169,4934193
AL,2022-02-27,358,4934193
AR,2021-03-01,94,3033946
AR,2021-03-02,440,3033946
AR,2021-03-03,404,3033946
AR,2021-03-04,403,3033946
AR,2021-03-05,570,3033946
AR,2021-03-06,327,3033946
AR,2021-03-07,165,3033946
AR,2021-03-08,133,3033946
AR,2021-03-09,432,3033946
AR,2021-03-10,317,3033946
AR,2021-03-11,340,3033946
AR,2021-03-12,459,3033946
AR,2021-03-13,314,3033946
AR,2021-03-14,130,3033946
AR,2021-03-15,117,3033946
AR,2021-03-16,396,3033946
AR,2021-03-17,325,3033946
AR,2021-03-18,264,3033946
AR,2021-03-19,228,3033946
AR,2021-03-20,274,3033946
AR,2021-03-21,108,3033946
AR,2021-03-22,52,3033946
AR,2021-03-23,239,3033946
AR,2021-03-24,231,3033946
AR,2021-03-25,334,3033946
AR,2021-03-26,184,3033946
AR,2021-03-27,165,3033946
AR,2021-03-28,69,3033946
AR,2021-03-29,79,3033946
AR,2021-03-30,178,3033946
AR,2021-03-31,212,3033946
AR,2021-04-01,211,3033946
AR,2021-04-02,144,3033946
AR,2021-04-03,217,3033946
AR,2021-04-04,84,3033946
AR,2021-04-05,44,3033946
AR,2021-04-06,163,3033946
AR,2021-04-07,244,3033946
AR,2021-04-08,199,3033946
AR,2021-04-09,178,3033946
AR,2021-04-10,171,3033946
AR,2021-04-11,100,3033946
AR,2021-04-12,69,3033946
AR,2021-04-13,224,3033946
AR,2021-04-14,220,3033946
AR,2021-04-15,283,3033946
AR,2021-04-16,237,3033946
AR,2021-04-17,221,3033946
AR,2021-04-18,45,3033946
AR,2021-04-19,59,3033946
AR,2021-04-20,198,3033946
AR,2021-04-21,352,3033946
AR,2021-04-22,161,3033946
AR,2021-04-23,236,3033946
AR,2021-04-24,184,3033946
AR,2021-04-25,64,3033946
AR,2021-04-26,63,3033946
AR,2021-04-27,229,3033946
AR,2021-04-28,291,3033946
AR,2021-04-29,240,3033946
AR,2021-04-30,196,3033946
AR,2021-05-01,243,3033946
AR,2021-05-02,137,3033946
AR,2021-05-03,61,3033946
AR,2021-05-04,296,3033946
AR,2021-05-05,298,3033946
AR,2021-05-06,188,3033946
AR,2021-05-07,222,3033946
AR,2021-05-08,245,3033946
AR,2021-05-09,95,3033946
AR,2021-05-10,76,3033946
AR,2021-05-11,233,3033946
AR,2021-05-12,224,3033946
AR,2021-05-13,192,3033946
AR,2021-05-14,250,3033946
AR,2021-05-15,202,3033946
AR,2021-05-16,95,3033946
AR,2021-05-17,67,3033946
AR,2021-05-18,313,3033946
AR,2021-05-19,244,3033946
AR,2021-05-20,256,3033946
AR,2021-05-21,201,3033946
AR,2021-05-22,177,3033946
AR,2021-05-23,97,3033946
AR,2021-05-24,49,3033946
AR,2021-05-25,329,3033946
AR,2021-05-26,183,3033946
AR,2021-05-27,218,3033946
AR,2021-05-28,214,3033946
AR,2021-05-29,160,3033946
AR,2021-05-30,61,3033946
AR,2021-05-31,30,3033946
