States,Date,Req,vaccinated_pct,monthly_new_cases_per_100k, infection_rate,hospital_beds_per_100k,new_deaths_per_100K
FL,2021-Aug-01,0,49,3006.46032,1.19,79.19952159,24.98111492
FL,2021-Sep-01,0,53,1459.577006,0.87,68.98287445,47.61085165
FL,2021-Oct-01,0,57,356.3112654,0.9,23.74618567,21.2398717
FL,2021-Nov-01,0,60,193.5649067,1.15,8.667289417,8.557922989
FL,2021-Dec-01,0,62,2164.416293,1.71,25.37301129,4.356429381
FL,2022-Jan-01,0,63,6240.316229,1.32,53.60777745,8.526024448
FL,2022-Feb-01,0,65,1219.134914,0.75,39.35368633,20.62012861
GA,2021-Mar-01,1,0,492.5389245,0.96,21.28345808,15.85409871
GA,2021-Apr-01,1,13,375.3367842,0.99,14.84763583,10.07386237
GA,2021-May-01,1,25,215.4569245,0.91,13.39795995,5.697133898
GA,2021-Jun-01,1,32,100.8771278,1.15,8.070170222,5.069248801
GA,2021-Jul-01,1,37,400.7384298,1.39,23.24098221,2.299167489
GA,2021-Aug-01,1,39,2023.184288,1.3,59.1135352,9.5013789
GA,2021-Sep-01,1,42,1586.111625,0.97,60.28620295,29.70450527
GA,2021-Oct-01,1,45,495.2905386,0.9,33.01013564,25.98336271
GA,2021-Nov-01,1,48,295.1798646,1.11,13.90580819,12.4561323
GA,2021-Dec-01,1,49,1555.936206,1.56,33.11170528,8.273309519
GA,2022-Jan-01,1,51,4650.661814,1.31,57.52535525,13.05631658
GA,2022-Feb-01,1,53,834.2746224,0.71,47.02674707,20.87717949
HI,2021-Mar-01,0,0,163.9612352,1.14,3.697304523,1.706448241
HI,2021-Apr-01,0,0,212.452806,1.04,4.408324623,1.422040201
HI,2021-May-01,0,0,161.2593588,1,5.261548744,1.208734171
HI,2021-Jun-01,0,0,96.41432563,1.08,5.474854774,1.208734171
HI,2021-Jul-01,0,0,302.3257467,1.38,9.527669347,1.422040201
HI,2021-Aug-01,0,0,1472.522628,1.34,32.28031256,3.697304523
HI,2021-Sep-01,0,0,1097.175117,0.97,33.70235277,13.72268794
HI,2021-Oct-01,0,0,341.4318523,0.95,14.8603201,9.527669347
HI,2021-Nov-01,0,0,225.6777799,1.04,6.470282915,7.252405025
HI,2021-Dec-01,0,0,1764.467481,1.67,12.79836181,5.119344724
HI,2022-Jan-01,0,0,7442.460698,1.33,30.4316603,6.470282915
HI,2022-Feb-01,0,0,1142.467098,0.66,25.52562161,10.87860754
